SourceFile,FileName,Keywords
/Volumes/Kool-Aid Man/WorkBox/Work-Inbox/upload-script-3/sandbox/example/234567.jpg,234567.jpg,Front view of Jewish New Year boxed cards
/Volumes/Kool-Aid Man/WorkBox/Work-Inbox/upload-script-3/sandbox/example/589831_d.jpg,589831_d.jpg,Front view of Jewish New Year boxed cards
/Volumes/Kool-Aid Man/WorkBox/Work-Inbox/upload-script-3/sandbox/example/589831_g1h.jpg,589831_g1h.jpg,View of card and envelope
/Volumes/Kool-Aid Man/WorkBox/Work-Inbox/upload-script-3/sandbox/example/589831_g2.jpg,589831_g2.jpg,Inside view of card
/Volumes/Kool-Aid Man/WorkBox/Work-Inbox/upload-script-3/sandbox/example/589831_g3.jpg,589831_g3.jpg,Close-up view of card
/Volumes/Kool-Aid Man/WorkBox/Work-Inbox/upload-script-3/sandbox/example/721031_d.jpg,721031_d.jpg,Front view of NIQUEA.D Christmas boxed cards
/Volumes/Kool-Aid Man/WorkBox/Work-Inbox/upload-script-3/sandbox/example/721031_g1h.jpg,721031_g1h.jpg,View of card and envelope
/Volumes/Kool-Aid Man/WorkBox/Work-Inbox/upload-script-3/sandbox/example/721031_g2.jpg,721031_g2.jpg,Inside view of card
/Volumes/Kool-Aid Man/WorkBox/Work-Inbox/upload-script-3/sandbox/example/721031_g3.jpg,721031_g3.jpg,Close-up view of card
/Volumes/Kool-Aid Man/WorkBox/Work-Inbox/upload-script-3/sandbox/example/721069_d.jpg,721069_d.jpg,Front view of NIQUEA.D Christmas boxed cards
/Volumes/Kool-Aid Man/WorkBox/Work-Inbox/upload-script-3/sandbox/example/721069_g1h.jpg,721069_g1h.jpg,View of card and envelope
/Volumes/Kool-Aid Man/WorkBox/Work-Inbox/upload-script-3/sandbox/example/721069_g2.jpg,721069_g2.jpg,Inside view of card
/Volumes/Kool-Aid Man/WorkBox/Work-Inbox/upload-script-3/sandbox/example/721069_g3.jpg,721069_g3.jpg,Close-up view of card
/Volumes/Kool-Aid Man/WorkBox/Work-Inbox/upload-script-3/sandbox/example/738671_d.jpg,738671_d.jpg,Front view of NIQUEA.D Christmas boxed cards
/Volumes/Kool-Aid Man/WorkBox/Work-Inbox/upload-script-3/sandbox/example/738671_g1h.jpg,738671_g1h.jpg,View of card and envelope
/Volumes/Kool-Aid Man/WorkBox/Work-Inbox/upload-script-3/sandbox/example/738671_g2.jpg,738671_g2.jpg,Inside view of card
/Volumes/Kool-Aid Man/WorkBox/Work-Inbox/upload-script-3/sandbox/example/738671_g3.jpg,738671_g3.jpg,Close-up view of card
/Volumes/Kool-Aid Man/WorkBox/Work-Inbox/upload-script-3/sandbox/example/738684_d.jpg,738684_d.jpg,Front view of NIQUEA.D holiday boxed cards
/Volumes/Kool-Aid Man/WorkBox/Work-Inbox/upload-script-3/sandbox/example/738684_g1h.jpg,738684_g1h.jpg,View of card and envelope
/Volumes/Kool-Aid Man/WorkBox/Work-Inbox/upload-script-3/sandbox/example/738684_g2.jpg,738684_g2.jpg,Inside view of card
/Volumes/Kool-Aid Man/WorkBox/Work-Inbox/upload-script-3/sandbox/example/738684_g3.jpg,738684_g3.jpg,Close-up view of card
